,service_number,direction,operator,category,origin_stop_code,destination_stop_code,AM_peak_interval,AM_offpeak_interval,PM_peak_interval,PM_offpeak_interval,service_description
480,169,2,SMRT,TRUNK,54009.0,46009.0,06-08,05-09,05-07,06-10,
481,169A,1,SMRT,TRUNK,46009.0,59073.0,17,-,-,-,
482,169B,1,SMRT,TRUNK,46009.0,46711.0,33,-,-,-,
483,171,1,SMRT,TRUNK,59009.0,2089.0,10-13,10-14,10-15,11-15,
484,171,2,SMRT,TRUNK,2099.0,59009.0,10-11,10-13,10-11,11-13,
485,172,1,SMRT,TRUNK,44009.0,22009.0,06-07,05-14,07-09,10-12,
486,172,2,SMRT,TRUNK,22009.0,44009.0,06-07,05-14,07-09,09-14,
487,176,1,SMRT,TRUNK,45009.0,10009.0,06-09,06-11,10-11,09-15,
488,176,2,SMRT,TRUNK,10009.0,45009.0,08-09,07-12,07-08,08-13,
489,178,1,SMRT,TRUNK,46009.0,22009.0,06-14,07-15,14-16,14-17,
490,178,2,SMRT,TRUNK,22009.0,46009.0,14-15,12-15,14-15,15-17,
491,178A,1,SMRT,TRUNK,46009.0,45139.0,14-42,-,-,-,
492,180,1,SMRT,TRUNK,22009.0,22009.0,04-09,08-13,05-11,10-12,Bt Panjang Rd
493,180A,1,SMRT,TRUNK,22009.0,44259.0,-,-,24-52,10,
494,184,1,SMRT,TRUNK,481.0,481.0,06-08,06-09,06-09,07-11,C'wealth Ave West
495,187,1,SMRT,TRUNK,46009.0,22009.0,07-09,05-11,07-13,09-13,
496,187,2,SMRT,TRUNK,22009.0,46009.0,06-08,06-10,06-09,07-13,
497,188,1,SMRT,TRUNK,44009.0,14009.0,05-10,07-16,07-13,13-14,
498,188,2,SMRT,TRUNK,14009.0,44009.0,09-14,07-16,07-08,08-14,
499,188e,1,SMRT,EXPRESS,44009.0,14009.0,15,-,-,-,
500,188R,1,SMRT,EXPRESS,44009.0,14519.0,35,30-35,30-33,27-31,
501,188R,2,SMRT,EXPRESS,14519.0,44009.0,-,30-33,28-33,30-33,
502,190,1,SMRT,TRUNK,44009.0,10499.0,02-05,04-07,06-07,07-11,
503,190,2,SMRT,TRUNK,10499.0,44009.0,08-11,04-07,04-06,05-08,
504,190A,1,SMRT,TRUNK,44009.0,8057.0,04-24,-,-,-,
505,300,1,SMRT,FEEDER,44009.0,44009.0,04-05,03-06,04,04-10,Choa Chu Kang Ave 3
506,301,1,SMRT,FEEDER,44009.0,44009.0,06-08,06-09,06-08,07-10,Keat Hong Cl
507,302,1,SMRT,FEEDER,44009.0,44009.0,03-05,04-06,04-06,06-10,Choa Chu Kang Cres
508,302A,1,SMRT,FEEDER,45321.0,45329.0,06-13,-,06-24,-,
509,307,1,SMRT,FEEDER,44009.0,44009.0,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
510,307,2,SMRT,FEEDER,,,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
511,307A,1,SMRT,FEEDER,44009.0,44531.0,10-15,10-32,10-12,10-34,Choa Chu Kang St 62
512,61,1,SMRT,TRUNK,43009.0,82009.0,07-09,09-14,10-13,10-15,
513,61,2,SMRT,TRUNK,82009.0,43009.0,08-13,09-15,08-15,11-15,
514,653,1,SMRT,CITY_LINK,43811.0,3391.0,10,-,-,-,
515,653,2,SMRT,CITY_LINK,3539.0,43268.0,-,-,15,-,
516,656,1,SMRT,EXPRESS,58121.0,3218.0,10,-,-,-,
517,656,2,SMRT,EXPRESS,3241.0,58129.0,-,-,15,-,
518,657,1,SMRT,CITY_LINK,28539.0,3391.0,15,-,-,-,
519,657,2,SMRT,CITY_LINK,3539.0,28531.0,-,-,15,-,
520,67,1,SMRT,TRUNK,44009.0,75009.0,06-09,07-12,08-11,09-13,
521,67,2,SMRT,TRUNK,75009.0,44009.0,07-09,06-11,08-12,09-12,
522,67A,1,SMRT,TRUNK,44009.0,41049.0,-,77,-,-,
523,67W,1,SMRT,TRUNK,75009.0,40011.0,-,77,-,-,
524,700,1,SMRT,TRUNK,481.0,3218.0,04-10,10-13,10-12,-,
525,700,2,SMRT,TRUNK,3239.0,481.0,13,09-13,10-11,11,
526,700A,1,SMRT,TRUNK,481.0,481.0,11-12,11-12,12,10-13,Temasek Ave
527,75,1,SMRT,TRUNK,481.0,2089.0,04-09,08-14,11-14,13-16,
528,75,2,SMRT,TRUNK,2099.0,481.0,09-12,07-13,08-15,13-15,
529,75A,1,SMRT,TRUNK,481.0,12099.0,-,-,-,-,
530,825,1,SMRT,TRUNK,55509.0,55509.0,08-11,10-20,09-13,09-10,Lentor Loop
531,853,1,SMRT,TRUNK,59009.0,80009.0,10-14,09-15,10-15,14-18,
532,853,2,SMRT,TRUNK,80009.0,59009.0,10-14,10-16,10-13,16-18,
533,853C,1,SMRT,TRUNK,59009.0,94009.0,11-13,09-14,12-14,14-15,
534,853C,2,SMRT,TRUNK,94009.0,59009.0,12-18,10-15,12-14,13-15,
535,854,1,SMRT,TRUNK,59009.0,84009.0,05-07,05-11,07,07-12,
536,854,2,SMRT,TRUNK,84009.0,59009.0,04-08,05-11,06-07,07-13,
537,854e,1,SMRT,EXPRESS,59009.0,84009.0,15-24,-,-,-,
538,855,1,SMRT,TRUNK,59009.0,14009.0,10-11,10-15,13-15,12-15,
539,855,2,SMRT,TRUNK,14009.0,59009.0,12-13,09-14,12-13,12-14,
540,856,1,SMRT,TRUNK,59009.0,46009.0,05-06,05-10,05-07,05-11,
541,856,2,SMRT,TRUNK,46009.0,59009.0,04-06,05-11,03-07,02-11,
542,856A,1,SMRT,TRUNK,46009.0,46069.0,-,-,30-40,-,
543,857,1,SMRT,TRUNK,59009.0,59009.0,03-07,05-09,06-10,08-10,Temasek Ave
544,857A,1,SMRT,TRUNK,59009.0,55081.0,12,-,-,-,
545,858,1,SMRT,TRUNK,46009.0,46009.0,05-09,05-09,05-09,06-10,PTB2 Basement
546,858A,1,SMRT,TRUNK,46009.0,59073.0,-,-,-,11,
547,859,1,SMRT,TRUNK,58009.0,58009.0,08-10,08-12,10-11,12-13,Yishun Temp Int
548,859A,1,SMRT,TRUNK,58009.0,58009.0,08-20,08-36,10-22,12-25,Admiralty Link
549,859B,1,SMRT,TRUNK,58009.0,58009.0,08-24,08-25,09-22,11-24,Sembawang Cres
550,860A,1,SMRT,TRUNK,59009.0,59569.0,04-10,-,-,-,
551,868E,1,SMRT,EXPRESS,43581.0,2161.0,15,-,-,-,
552,882,1,SMRT,TRUNK,58009.0,58009.0,13-17,13-17,14-18,12-17,Sembawang Rd
553,882A,1,SMRT,TRUNK,58009.0,58501.0,-,-,20-41,-,
554,883,1,SMRT,TRUNK,58009.0,58009.0,07-09,09-13,07-12,07-20,Yishun Ctrl 2
555,883B,1,SMRT,TRUNK,59079.0,58539.0,-,-,-,22-26,
556,900,1,SMRT,FEEDER,46009.0,46009.0,06-08,05-09,08,06-15,Woodlands Dr 14
557,900A,1,SMRT,FEEDER,46009.0,46009.0,06-08,06-09,08-10,-,Woodlands Dr 17
558,901,1,SMRT,FEEDER,46009.0,46009.0,02-08,06-12,08-09,08-15,Woodlands Ave 6
559,902,1,SMRT,FEEDER,46009.0,46269.0,03-09,02-07,-,-,
560,903,1,SMRT,FEEDER,46009.0,46009.0,05-09,06-09,06-08,07-14,Woodlands Ctr Rd
561,903M,1,SMRT,FEEDER,46009.0,46009.0,24,-,21-22,-,Marsiling Lane
562,904,1,SMRT,FEEDER,46009.0,46009.0,09-10,09-13,09-13,11-15,Woodlands Cres
563,911,1,SMRT,FEEDER,46009.0,46009.0,02-06,05-11,04-06,02-12,Woodlands Ave 2
564,912,1,SMRT,FEEDER,46009.0,46009.0,23-27,21-25,22-25,19-25,Woodlands Ave 7
565,912A,1,SMRT,FEEDER,46009.0,46008.0,05-06,07-09,06-09,06-10,Woodlands Ave 7
566,912B,1,SMRT,FEEDER,46008.0,46009.0,01-12,08-11,04-11,08-11,Woodlands Ctr Rd
567,912M,1,SMRT,FEEDER,46008.0,46009.0,20,-,20,-,Woodlands St 41
568,913,1,SMRT,FEEDER,46009.0,46009.0,03-07,02-07,02-07,03-10,Woodlands Circle
569,913,2,SMRT,FEEDER,,,03-07,02-07,02-07,03-10,Woodlands Circle
570,913M,1,SMRT,FEEDER,46009.0,46009.0,15-20,15-20,15-20,20,Woodlands St 13
571,920,1,SMRT,FEEDER,45009.0,45009.0,06,05-09,05-07,06-11,Bangkit Rd
572,922,1,SMRT,FEEDER,45009.0,45009.0,06-08,06-10,06-07,07-11,Bangkit Rd
573,925,1,SMRT,TRUNK,46009.0,44009.0,07-10,07-14,11-13,11,
574,925,2,SMRT,TRUNK,44009.0,46009.0,09-11,09-14,09,09-10,
575,925C,1,SMRT,TRUNK,46009.0,46009.0,10-11,10-12,10-13,13,Neo Tiew Cres
576,926,1,SMRT,TRUNK,46009.0,46009.0,-,-,-,10-15,Mandai Lake Rd
577,927,1,SMRT,TRUNK,44009.0,44009.0,13,12-17,13-14,13-18,Mandai Lake Rd
578,944,1,SMRT,FEEDER,43009.0,43009.0,12,13-16,12,15-16,Bt Batok Rd
579,950,1,SMRT,TRUNK,46009.0,46009.0,11-12,09-13,11-13,11-12,Jln Jim Quee
580,951E,1,SMRT,EXPRESS,46449.0,3218.0,06-08,-,-,-,
581,951E,2,SMRT,EXPRESS,3222.0,46441.0,-,-,15,-,
582,960,1,SMRT,TRUNK,46009.0,2099.0,08-09,08-12,10-12,10-11,
583,960,2,SMRT,TRUNK,2099.0,46009.0,10-11,08-11,08-09,09-11,
584,960e,1,SMRT,EXPRESS,46009.0,2099.0,20-30,30,30,30,
585,960e,2,SMRT,EXPRESS,2099.0,46009.0,30,30,20-30,20-30,
586,961,1,SMRT,TRUNK,46009.0,80009.0,07-11,07-15,11-15,12-15,
587,961,2,SMRT,TRUNK,80009.0,46009.0,11-13,08-13,08-12,11-16,
588,961C,1,SMRT,TRUNK,46009.0,80009.0,12-14,10-12,11-14,14-15,
589,961C,2,SMRT,TRUNK,80009.0,46009.0,14,08-13,13-14,14-16,
590,962,1,SMRT,TRUNK,46009.0,46009.0,07-08,05-10,07-08,09-10,Admiralty St
591,962B,1,SMRT,TRUNK,58259.0,58251.0,29-31,-,26-34,-,
592,962C,1,SMRT,TRUNK,47571.0,47591.0,08-09,-,-,-,
593,963,1,SMRT,TRUNK,46009.0,14009.0,06-13,05-14,07-13,12-15,
594,963,2,SMRT,TRUNK,14009.0,46009.0,08-15,06-13,06-08,08-13,
595,963e,1,SMRT,EXPRESS,46009.0,14009.0,20,-,-,-,
596,963e,2,SMRT,EXPRESS,14009.0,46009.0,-,-,30,-,
597,963R,1,SMRT,EXPRESS,46009.0,14519.0,32-35,30-33,32-33,32-35,
598,963R,2,SMRT,EXPRESS,14519.0,46009.0,-,27-33,30-31,30-33,
599,964,1,SMRT,TRUNK,46009.0,46009.0,04-05,04-08,04-06,05-11,Nth Woodlands Link
600,965,1,SMRT,TRUNK,46009.0,46009.0,04-12,08-14,09-10,10-17,Sengkang Sq
601,965A,1,SMRT,TRUNK,46009.0,59073.0,08-10,-,-,-,
602,966,1,SMRT,TRUNK,46009.0,46009.0,06-10,07-14,07-16,15-17,Marine Parade Rd
603,969,1,SMRT,TRUNK,46009.0,75009.0,04-08,05-10,05-09,09-12,
604,969,2,SMRT,TRUNK,75009.0,46009.0,03-07,05-10,05-07,03-10,
605,969A,1,SMRT,TRUNK,75009.0,59079.0,-,-,08-13,,
606,970,1,SMRT,TRUNK,45009.0,3218.0,11-16,10-16,10-16,16-17,
607,970,2,SMRT,TRUNK,3239.0,45009.0,13-14,10-15,10-11,11-16,
608,971E,1,SMRT,EXPRESS,481.0,3021.0,06-07,-,-,-,
609,971E,2,SMRT,EXPRESS,3223.0,481.0,-,-,10-15,-,
610,972,1,SMRT,TRUNK,45009.0,45009.0,04-05,04-10,05-08,08-10,Bencoolen St
611,972A,1,SMRT,TRUNK,45009.0,8057.0,-,-,-,15,
612,973,1,SMRT,TRUNK,45009.0,45009.0,10-13,12,10-12,10-15,Hume Ave
613,973A,1,SMRT,TRUNK,45009.0,44229.0,-,-,-,20,
614,975,1,SMRT,TRUNK,45009.0,45009.0,07,07-11,06-09,09-12,Lim Chu Kang Rd
615,975B,1,SMRT,TRUNK,44531.0,33041.0,12-44,-,08-28,09-80,
616,979,1,SMRT,TRUNK,45009.0,45009.0,04-06,05-08,05-06,06-09,Choa Chu Kang Cres
617,980,1,SMRT,TRUNK,58009.0,80009.0,12-15,14-17,14-18,15-18,
618,980,2,SMRT,TRUNK,80009.0,58009.0,15-16,14-17,16-17,14-16,
619,981,1,SMRT,TRUNK,58009.0,47199.0,12-15,13-15,-,-,
620,981,2,SMRT,TRUNK,47121.0,58009.0,-,-,18-20,17-20,
621,982E,1,SMRT,EXPRESS,44589.0,3391.0,15,-,-,-,
622,982E,2,SMRT,EXPRESS,3539.0,44581.0,-,-,15,-,
623,983,1,SMRT,TRUNK,44009.0,44009.0,05-06,06-08,05-07,06-09,Jelebu Rd
624,983A,1,SMRT,TRUNK,44009.0,44131.0,-,-,-,15-20,
625,985,1,SMRT,TRUNK,44009.0,80009.0,08-10,09-11,11,11-12,
626,985,2,SMRT,TRUNK,80009.0,44009.0,09-10,09-13,10,11-12,
627,991,1,SMRT,TRUNK,43009.0,44009.0,10-12,11-13,10-12,10-15,
628,991,2,SMRT,TRUNK,44009.0,43009.0,10-12,12-13,10-12,10-19,
629,991A,1,SMRT,TRUNK,43009.0,43341.0,-,-,-,15,
630,991B,1,SMRT,TRUNK,44009.0,44099.0,-,-,-,18-19,
631,BPS1,1,SMRT,TRUNK,44699.0,44009.0,20,-,-,-,
632,BPS1,2,SMRT,TRUNK,44539.0,44691.0,-,-,20,-,
633,NR1,1,SMRT,NIGHT RIDER,14519.0,59561.0,-,-,-,25-25,Yishun Ring Rd
634,NR2,1,SMRT,NIGHT RIDER,2099.0,58291.0,-,-,-,30-30,Sembawang Dr
635,NR3,1,SMRT,NIGHT RIDER,5029.0,44009.0,-,-,-,30,
636,NR5,1,SMRT,NIGHT RIDER,2099.0,22449.0,-,-,-,30,
637,NR6,1,SMRT,NIGHT RIDER,14519.0,67171.0,-,-,-,29-29,Anchorvale Dr
638,NR7,1,SMRT,NIGHT RIDER,2099.0,98029.0,-,-,-,29,
639,NR8,1,SMRT,NIGHT RIDER,2099.0,43609.0,-,-,-,29-29,Bt Batok West Ave 5
640,106,1,TTS,TRUNK,43009.0,3218.0,06-09,06-12,10-10,10-13,
641,106,2,TTS,TRUNK,3239.0,43009.0,08-10,07-12,07-12,11-12,
642,106A,1,TTS,TRUNK,43009.0,17179.0,13-45,-,-,-,
643,143,1,TTS,TRUNK,52009.0,28009.0,08-09,08-13,10-14,13-14,
644,143,2,TTS,TRUNK,28009.0,52009.0,08-10,08-13,12-13,12-13,
645,143M,1,TTS,TRUNK,28009.0,28009.0,13-15,14-16,14-16,14-16,Pandan Gdns
646,173,1,TTS,TRUNK,43009.0,43009.0,08-12,09-14,09-10,15-15,Clementi Ave 3
647,173A,1,TTS,TRUNK,43009.0,43169.0,-,-,-,15-15,Bt Batok East Ave 4
648,177,1,TTS,TRUNK,43009.0,43009.0,13-15,12-15,12-12,-,Jelebu Rd
649,183,1,TTS,TRUNK,28009.0,28009.0,05-08,05-15,06-09,16-19,Science Pk Rd
650,183B,1,TTS,TRUNK,28009.0,28189.0,03-08,03-13,-,-,
651,189,1,TTS,TRUNK,43009.0,43009.0,06-08,05-11,07-11,10-12,Clementi Ave 1
652,189A,1,TTS,TRUNK,43009.0,43319.0,06-15,07-13,-,15-20,Bt Batok St 23
653,282,1,TTS,FEEDER,17009.0,17009.0,08-10,10-12,07-10,08-12,Clementi West St 2
654,284,1,TTS,FEEDER,17009.0,17009.0,05-06,06-08,04-06,04-07,Clementi Ave 4
655,285,1,TTS,FEEDER,17009.0,17009.0,05-06,05-12,05-06,06-14,Pandan Loop
656,333,1,TTS,FEEDER,28009.0,28009.0,07-09,08-12,08-08,08-12,Jurong East St 32
657,334,1,TTS,FEEDER,28009.0,28009.0,05-06,06-10,05-06,05-12,Jurong West St 42
658,335,1,TTS,FEEDER,28009.0,28009.0,07-08,07-13,07-08,07-14,Jurong West St 41
659,41,1,TTS,TRUNK,28009.0,28009.0,10-12,13-15,11-15,12-15,Jln Anak Bt
660,49,1,TTS,TRUNK,28009.0,28009.0,09-10,10-14,09-14,10-12,Jurong West St 42
661,66,1,TTS,TRUNK,84009.0,28009.0,09-11,10-17,12-16,15-16,
662,66,2,TTS,TRUNK,28009.0,84009.0,09-12,10-16,12-16,10-16,
663,663,1,TTS,EXPRESS,59591.0,3218.0,15 -15,-,-,-,
664,663,2,TTS,EXPRESS,3241.0,59599.0,-,-,15 -15,-,
665,665,1,TTS,EXPRESS,46141.0,3218.0,08 -08,-,-,-,
666,665,2,TTS,EXPRESS,3241.0,46149.0,-,-,15 -15,-,
667,66A,1,TTS,TRUNK,84009.0,40011.0,-,-,-,-,
668,66B,1,TTS,TRUNK,60139.0,28009.0,-,-,-,-,
669,66B,2,TTS,TRUNK,28009.0,7031.0,-,-,-,-,
670,77,1,TTS,TRUNK,43009.0,2099.0,10-11,11-12,11-14,10-15,
671,77,2,TTS,TRUNK,2099.0,43009.0,11-14,10-12,12-13,13-15,
672,78,1,TTS,TRUNK,28009.0,28009.0,06-08,06-15,07-08,11-15,Clementi Ave 3
673,78A,1,TTS,TRUNK,28009.0,29121.0,03-08,-,-,-,Tg Penjuru
674,79,1,TTS,TRUNK,28009.0,28009.0,06-10,08-18,08-12,15-17,Jurong West Ctrl 3
675,79A,1,TTS,TRUNK,28009.0,22009.0,-,-,-,15-15,
676,941,1,TTS,FEEDER,43009.0,43009.0,06-07,07-10,06-07,06-12,Bukit Batok West Avenue 9
677,945,1,TTS,FEEDER,43009.0,43009.0,06-09,07-10,06-07,06-15,Bt Batok St 34
678,947,1,TTS,FEEDER,43009.0,43009.0,05-09,08-09,06-08,06-09,Bt Batok Rd
679,96,1,TTS,TRUNK,17009.0,17009.0,06-07,05-13,05-07,05-10,Kent Ridge Cres
680,96A,1,TTS,TRUNK,17009.0,16169.0,08-10,03-09,-,-,
681,96B,1,TTS,TRUNK,17009.0,17171.0,-,06-19,05-19,-,
682,97,1,TTS,TRUNK,28009.0,2099.0,09-10,06-13,06-13,13-14,
683,97,2,TTS,TRUNK,2099.0,28009.0,10-11,07-14,09-10,13-13,
684,974,1,TTS,TRUNK,44029.0,24009.0,15-15,15-15,15-15,15-15,
685,974,2,TTS,TRUNK,24009.0,44031.0,15-15,15-15,15-15,15-15,
686,974A,1,TTS,TRUNK,44029.0,44539.0,-,-,-,08-15,
687,97e,1,TTS,EXPRESS,28009.0,2099.0,12-12,-,-,-,
688,97e,2,TTS,EXPRESS,2099.0,28009.0,-,-,12-12,-,
689,98,1,TTS,TRUNK,28009.0,28009.0,05-08,06-16,08-10,10-20,Jurong Pier Way
690,98A,1,TTS,TRUNK,28091.0,21179.0,-,-,06-10,10-20,
691,98B,1,TTS,TRUNK,28501.0,21099.0,05-09,-,-,-,
692,98M,1,TTS,TRUNK,28009.0,28009.0,-,14-18,-,14-18,Corporation Rd
693,990,1,TTS,TRUNK,43009.0,43009.0,12-12,12-12,12-12,12-13,Jurong Gateway Rd
694,225,1,SBST,FEEDER,84009.0,84009.0,03-05,03-13,03-06,04-12,Bedok North St 3
695,225,2,SBST,FEEDER,84009.0,84009.0,04-06,05-09,04-07,04-10,Bedok North St 3
696,243,1,SBST,FEEDER,22009.0,22009.0,05-06,03-06,04-04,04-08,Jurong West Ave 5
697,243,2,SBST,FEEDER,22009.0,22009.0,05-08,03-07,03-05,03-10,Jurong West Ave 5
698,410,1,SBST,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Road
699,410,2,SBST,FEEDER,53009.0,53009.0,05-06,05-12,06-06,06-14,Shunfu Road
700,533,1,SBST,FLAT FARE $4.20,28009.0,3011.0,10-10,-,-,-,
701,534,1,SBST,FLAT FARE $4.20,63219.0,3011.0,-,-,-,-,
702,535,1,SBST,FLAT FARE $4.20,52371.0,3011.0,-,-,-,-,
703,536,1,SBST,FLAT FARE $4.50,22009.0,3011.0,-,-,-,-,
704,538,1,SBST,FLAT FARE $4.50,77009.0,3011.0,10-10,-,-,-,
705,539,1,SBST,FLAT FARE $4.50,77009.0,3011.0,10-10,-,-,-,
706,552,1,SBST,FLAT FARE $4.50,75009.0,3011.0,-,-,-,-,
707,553,1,SBST,FLAT FARE $4.50,75009.0,3011.0,-,-,-,-,
708,560,1,SBST,FLAT FARE $4.20,12169.0,3011.0,05-05,-,-,-,
709,561,1,SBST,FLAT FARE $4.00,70059.0,3011.0,-,-,-,-,
710,563,1,SBST,FLAT FARE $4.20,42011.0,3011.0,-,-,-,-,
711,564,1,SBST,FLAT FARE $4.00,41119.0,3011.0,05-05,-,-,-,
712,565,1,SBST,FLAT FARE $4.00,52471.0,3011.0,-,-,-,-,
713,569,1,SBST,FLAT FARE $4.50,65009.0,3011.0,-,-,-,-,
714,585,1,SBST,FLAT FARE $4.20,82009.0,3011.0,10-10,-,-,-,
715,761,1,SBST,FLAT FARE $4.20,56251.0,3011.0,10-10,-,-,-,
716,529,1,SMRT,FLAT FARE $2.70,55509.0,55509.0,-,-,25,25,
717,530,1,SMRT,FLAT FARE $3.50,13051.0,3218.0,15,-,-,-,
718,531,1,SMRT,FLAT FARE $5.00,96129.0,3218.0,04-08,-,-,-,
719,531,2,SMRT,FLAT FARE $5.00,3222.0,96121.0,-,-,15,-,
720,546,1,SMRT,FLAT FARE $3.50,60221.0,3218.0,-,-,-,-,
721,587,1,SMRT,FLAT FARE $5.00,46861.0,3218.0,-,-,-,-,
722,588,1,SMRT,FLAT FARE $4.00,53369.0,3218.0,-,-,-,-,
723,589,1,SMRT,FLAT FARE $4.00,17429.0,3011.0,-,-,-,-,
724,590,1,SMRT,FLAT FARE $5.00,45421.0,3218.0,10,-,-,-,
725,598,1,SMRT,FLAT FARE $5.00,44859.0,3218.0,10,-,-,-,
726,599,1,SMRT,FLAT FARE $5.00,64449.0,3218.0,-,-,-,-,
727,3A,1,GAS,TRUNK,75009.0,77331.0,00-00,12-75,08-37,12-99,
728,36B,1,GAS,TRUNK,93049.0,93199.0,8-8,9-99,09-09,-,Tomlinson Rd
